pwsid,population
CA4000206,700
CA4000214,81
CA4000222,1630
CA4000226,710
CA4000230,133
CA4000501,105
CA4000506,538
CA4000507,386
CA4000523,591
CA4000554,350
CA4000563,30
CA4000568,462
CA4000631,40
CA4000637,60
CA4000648,84
CA4000649,420
CA4000650,600
CA4000653,250
CA4000654,99
CA4000660,45
CA4000670,486
CA4000675,500
CA4000693,100
CA4000705,80
CA4000716,75
CA4000732,65
CA4000741,70
CA4000744,79
CA4000749,38
CA4000750,55
CA4000765,106
CA4000771,44
CA4000774,100
CA4000775,30
CA4000789,125
CA4000802,238
CA4000803,50
CA4000805,126
CA4000808,65
CA4000815,108
CA4000834,60
CA4000837,35
CA4000839,25
CA4000844,650
CA4010001,17963
CA4010002,30457
CA4010003,1600
CA4010004,12701
CA4010005,7601
CA4010006,2369
CA4010007,31221
CA4010008,8036
CA4010009,47653
CA4010010,2600
CA4010011,15581
CA4010012,2981
CA4010014,5532
CA4010015,1874
CA4010016,7086
CA4010017,5947
CA4010018,4528
CA4010019,8011
CA4010022,0
CA4010023,1464
CA4010024,1291
CA4010025,0
CA4010026,13771
CA4010027,2181
CA4010028,1085
CA4010030,0
CA4010040,2026
CA4010080,0
CA4010081,3862
CA4010830,15000
CA4010832,4100
CA4010901,1200
CA4100503,150
CA4100509,300
CA4100510,56
CA4100512,65
CA4100513,192
CA4100522,68
CA4100529,187
CA4100538,357
CA4100539,66
CA4100540,35
CA4100551,50
CA4100555,140
CA4100582,450
CA4100583,65
CA4110001,28050
CA4110002,3385
CA4110003,31919
CA4110005,1471
CA4110006,60903
CA4110007,35453
CA4110008,102663
CA4110009,63439
CA4110010,6034
CA4110011,18839
CA4110012,832
CA4110013,108599
CA4110016,11387
CA4110017,19297
CA4110018,22795
CA4110019,2789
CA4110020,2900
CA4110021,36556
CA4110022,89037
CA4110023,44745
CA4110024,29519
CA4110025,38546
CA4110027,13486
CA4200505,60
CA4200531,240
CA4200556,150
CA4200560,135
CA4200572,200
CA4200578,160
CA4200579,38
CA4200580,120
CA4200612,150
CA4200616,295
CA4200618,150
CA4200619,304
CA4200633,55
CA4200678,38
CA4200693,186
CA4200702,60
CA4200703,325
CA4200714,43
CA4200721,66
CA4200731,54
CA4200733,70
CA4200747,50
CA4200800,142
CA4200802,102
CA4200804,54
CA4200807,325
CA4200814,35
CA4200822,59
CA4200827,25
CA4200833,589
CA4200837,129
CA4200842,320
CA4200848,75
CA4200851,66
CA4200862,34
CA4200867,40
CA4200870,234
CA4200879,250
CA4200881,211
CA4200885,38
CA4200891,115
CA4200918,845
CA4200924,40
CA4200969,45
CA4210001,15996
CA4210002,1534
CA4210003,8352
CA4210004,84462
CA4210005,550
CA4210006,41079
CA4210007,11881
CA4210009,700
CA4210010,98420
CA4210011,109910
CA4210013,6126
CA4210016,33364
CA4210017,7308
CA4210018,5464
CA4210019,3600
CA4210020,7022
CA4210021,1970
CA4210022,542
CA4210024,4861
CA4210028,0
CA4210030,0
CA4210700,14971
CA4300516,338
CA4300517,346
CA4300520,145
CA4300521,142
CA4300522,156
CA4300525,168
CA4300526,61
CA4300542,634
CA4300543,1173
CA4300545,258
CA4300546,280
CA4300550,79
CA4300551,220
CA4300560,80
CA4300562,148
CA4300563,300
CA4300567,132
CA4300571,53
CA4300573,53
CA4300575,317
CA4300577,103
CA4300578,52
CA4300593,60
CA4300603,104
CA4300605,536
CA4300610,100
CA4300611,250
CA4300615,508
CA4300630,36
CA4300637,58
CA4300638,145
CA4300716,300
CA4300721,560
CA4300740,40
CA4300741,60
CA4300760,68
CA4300770,110
CA4300771,302
CA4300779,127
CA4300792,45
CA4300831,165
CA4300832,46
CA4300834,450
CA4300856,66
CA4300909,284
CA4300912,104
CA4300924,250
CA4300978,70
CA4300979,55
CA4300992,66
CA4300994,500
CA4300996,45
CA4300997,5300
CA4300999,68
CA4301004,43
CA4301013,30
CA4310001,70175
CA4310004,58108
CA4310005,77961
CA4310006,47374
CA4310007,81756
CA4310009,67973
CA4310011,1010207
CA4310012,130746
CA4310013,32235
CA4310014,156234
CA4310018,16336
CA4310019,37991
CA4310020,98198
CA4310021,6822
CA4310022,108902
CA4310027,0
CA4310028,30000
CA4400502,614
CA4400517,43
CA4400526,182
CA4400528,64
CA4400557,118
CA4400558,378
CA4400559,152
CA4400571,350
CA4400572,187
CA4400582,80
CA4400585,50
CA4400595,419
CA4400598,204
CA4400599,182
CA4400604,54
CA4400605,126
CA4400608,385
CA4400611,125
CA4400613,70
CA4400617,479
CA4400618,213
CA4400621,54
CA4400624,87
CA4400625,53
CA4400631,402
CA4400634,32
CA4400642,60
CA4400645,45
CA4400652,60
CA4400660,200
CA4400664,130
CA4400665,42
CA4400667,26
CA4400684,52
CA4400692,54
CA4400723,1310
CA4400750,1925
CA4400751,160
CA4400754,1083
CA4400755,400
CA4400756,200
CA4400757,967
CA4400758,250
CA4400762,235
CA4400763,455
CA4400764,170
CA4400850,54
CA4400875,190
CA4410001,1120
CA4410002,4340
CA4410008,2850
CA4410010,95939
CA4410011,65231
CA4410013,10709
CA4410014,21145
CA4410016,1067
CA4410017,40644
CA4410018,2715
CA4500003,300
CA4500006,160
CA4500007,356
CA4500008,88
CA4500009,92
CA4500012,89
CA4500013,310
CA4500014,264
CA4500015,252
CA4500016,70
CA4500022,211
CA4500023,88
CA4500027,97
CA4500028,218
CA4500041,700
CA4500054,408
CA4500062,85
CA4500063,40
CA4500066,75
CA4500081,250
CA4500082,50
CA4500089,44
CA4500092,87
CA4500093,35
CA4500094,274
CA4500098,70
CA4500101,168
CA4500102,78
CA4500104,37
CA4500106,26
CA4500107,205
CA4500160,450
CA4500161,375
CA4500163,700
CA4500170,95
CA4500173,131
CA4500180,240
CA4500181,35
CA4500183,250
CA4500190,125
CA4500193,340
CA4500194,90
CA4500195,510
CA4500200,120
CA4500203,92
CA4500204,415
CA4500210,475
CA4500214,850
CA4500219,85
CA4500235,187
CA4500246,434
CA4500247,90
CA4500254,112
CA4500255,382
CA4500290,53
CA4500303,95
CA4500313,261
CA4500314,31
CA4500317,277
CA4500322,100
CA4510001,11147
CA4510002,2227
CA4510003,3154
CA4510004,1119
CA4510005,87741
CA4510006,10657
CA4510007,3316
CA4510008,1535
CA4510009,750
CA4510011,4211
CA4510013,1584
CA4510014,18612
CA4510015,944
CA4510016,8900
CA4600009,726
CA4600012,82
CA4600017,324
CA4600018,200
CA4600019,182
CA4600056,250
CA4610001,983
CA4610002,783
CA4700503,70
CA4700513,280
CA4700521,143
CA4700523,289
CA4700528,300
CA4700531,75
CA4700541,55
CA4700542,135
CA4700546,146
CA4700549,240
CA4700551,181
CA4700559,165
CA4700569,100
CA4700577,95
CA4700582,60
CA4700585,40
CA4700591,50
CA4700626,105
CA4700627,130
CA4700630,50
CA4700638,41
CA4700686,55
CA4700803,134
CA4700872,150
CA4700880,539
CA4700884,32
CA4710001,887
CA4710002,1707
CA4710003,675
CA4710004,720
CA4710006,1317
CA4710007,1495
CA4710008,3642
CA4710009,5324
CA4710010,966
CA4710011,7746
CA4710012,1100
CA4710013,2790
CA4800511,25
CA4800531,60
CA4800561,125
CA4800564,80
CA4800589,25
CA4800753,550
CA4810001,27131
CA4810002,10616
CA4810003,119897
CA4810004,10489
CA4810005,29530
CA4810007,126090
CA4810008,97155
CA4810009,11784
CA4810010,535
CA4810011,290
CA4810012,132
CA4810013,1313
CA4810015,3
CA4810021,2800
CA4810024,63
CA4810025,89
CA4810026,56
CA4810701,18111
CA4810800,5100
CA4810801,69
CA4900508,250
CA4900510,90
CA4900512,260
CA4900513,76
CA4900514,96
CA4900521,290
CA4900532,406
CA4900533,59
CA4900536,533
CA4900543,427
CA4900545,300
CA4900546,83
CA4900547,129
CA4900548,300
CA4900549,290
CA4900551,64
CA4900552,93
CA4900553,75
CA4900558,287
CA4900559,126
CA4900560,135
CA4900561,448
CA4900562,422
CA4900563,150
CA4900568,61
CA4900570,300
CA4900573,70
CA4900575,26
CA4900577,358
CA4900578,288
CA4900580,181
CA4900582,34
CA4900584,271
CA4900585,446
CA4900587,112
CA4900588,218
CA4900599,200
CA4900600,460
CA4900603,150
CA4900605,61
CA4900608,66
CA4900611,208
CA4900612,363
CA4900620,82
CA4900630,150
CA4900634,45
CA4900637,150
CA4900639,30
CA4900640,40
CA4900641,100
CA4900644,70
CA4900646,37
CA4900647,435
CA4900653,60
CA4900660,200
CA4900665,84
CA4900667,237
CA4900669,82
CA4900673,50
CA4900674,27
CA4900675,130
CA4900679,100
CA4900680,100
CA4900687,400
CA4900693,591
CA4900694,500
CA4900695,325
CA4900699,400
CA4900703,500
CA4900704,200
CA4900705,200
CA4900707,400
CA4900708,398
CA4900710,400
CA4900711,289
CA4900714,225
CA4900716,228
CA4900719,175
CA4900720,210
CA4900721,342
CA4900723,188
CA4900728,75
CA4900736,40
CA4900739,175
CA4900748,448
CA4900785,81
CA4900787,125
CA4900789,90
CA4900791,225
CA4900793,43
CA4900794,141
CA4900795,196
CA4900796,420
CA4900797,221
CA4900798,250
CA4900799,200
CA4900832,410
CA4900843,151
CA4900846,25
CA4900850,77
CA4900871,691
CA4900892,45
CA4900893,40
CA4900901,80
CA4900905,25
CA4900907,301
CA4900913,66
CA4900943,418
CA4900945,200
CA4900973,148
CA4901062,48
CA4901071,60
CA4901156,460
CA4901168,300
CA4901190,134
CA4901214,50
CA4901215,30
CA4901221,50
CA4901246,110
CA4901290,53
CA4901309,100
CA4901346,50
CA4901355,60
CA4901381,56
CA4901382,42
CA4901436,360
CA4901445,205
CA4910002,10557
CA4910003,1742
CA4910004,6000
CA4910005,10914
CA4910006,61304
CA4910007,1160
CA4910008,4150
CA4910009,175775
CA4910010,1265
CA4910011,7522
CA4910012,11725
CA4910013,23077
CA4910014,42484
CA4910016,7360
CA4910017,25985
CA4910018,483
CA4910019,3291
CA4910020,0
CA4910021,1069
CA4910022,805
CA4910023,7702
CA4910024,1013
CA4910025,1013
CA4910026,757
CA4910027,10986
CA4910028,3000
CA4910029,1171
CA4910701,1422
CA5000005,500
CA5000008,168
CA5000010,195
CA5000013,144
CA5000014,269
CA5000015,150
CA5000016,147
CA5000017,250
CA5000019,610
CA5000033,50
CA5000048,125
CA5000049,64
CA5000054,67
CA5000055,153
CA5000058,120
CA5000060,220
CA5000061,60
CA5000067,40
CA5000071,112
CA5000072,148
CA5000080,90
CA5000082,65
CA5000090,540
CA5000095,339
CA5000099,110
CA5000101,500
CA5000109,450
CA5000132,80
CA5000133,650
CA5000155,100
CA5000218,60
CA5000237,234
CA5000249,390
CA5000255,364
CA5000263,75
CA5000273,110
CA5000274,218
CA5000277,26
CA5000295,105
CA5000297,25
CA5000313,150
CA5000317,287
CA5000335,25
CA5000389,186
CA5000404,90
CA5000408,70
CA5000433,1570
CA5000568,2000
CA5000579,26
CA5000584,860
CA5010005,14537
CA5010006,8788
CA5010007,887
CA5010008,7481
CA5010009,5697
CA5010010,218771
CA5010013,12351
CA5010014,23235
CA5010017,23304
CA5010018,24834
CA5010019,72682
CA5010021,5078
CA5010023,1099
CA5010026,597
CA5010028,48706
CA5010029,1327
CA5010031,175
CA5010033,914
CA5010034,172
CA5010035,119
CA5010038,18
CA5010039,2000
CA5010040,0
CA5010042,1079
CA5010043,50
CA5100107,210
CA5100112,50
CA5100125,25
CA5100136,330
CA5100138,160
CA5100140,185
CA5100141,100
CA5100142,120
CA5100143,177
CA5100149,650
CA5100172,128
CA5101009,350
CA5102025,40
CA5103335,102
CA5110001,9285
CA5110002,75322
CA5110007,2904
CA5200007,75
CA5200008,75
CA5200010,45
CA5200012,468
CA5200013,40
CA5200014,75
CA5200255,112
CA5200500,70
CA5200502,191
CA5200503,634
CA5200504,483
CA5200506,70
CA5200507,325
CA5200508,543
CA5200510,305
CA5200511,100
CA5200512,99
CA5200513,1100
CA5200514,45
CA5200518,32
CA5200519,625
CA5200520,111
CA5200521,175
CA5200525,43
CA5200526,70
CA5200527,50
CA5200531,104
CA5200534,244
CA5200535,80
CA5200538,350
CA5200539,75
CA5200540,196
CA5200541,220
CA5200544,90
CA5200545,85
CA5200546,70
CA5200547,103
CA5200548,85
CA5200551,158
CA5200555,44
CA5200556,140
CA5200558,100
CA5200559,63
CA5200560,145
CA5200562,412
CA5200565,280
CA5200570,163
CA5200571,131
CA5200574,109
CA5200575,36
CA5200584,53
CA5200588,27
CA5200645,90
CA5200657,45
CA5200864,1055
CA5201140,25
CA5201147,102
CA5205007,90
CA5210001,8244
CA5210002,1200
CA5210003,1450
CA5210004,14076
CA5210005,3329
CA5301001,42
CA5301002,701
CA5301008,223
CA5301017,104
CA5301101,131
CA5301102,338
CA5301103,60
CA5301104,99
CA5301201,40
CA5303002,43
CA5304102,332
CA5304105,125
CA5304109,115
CA5304209,80
CA5304501,231
CA5304502,130
CA5305107,100
CA5310001,3308
CA5310002,2324
CA5310003,729
CA5400504,205
CA5400505,163
CA5400506,560
CA5400519,500
CA5400529,95
CA5400536,106
CA5400537,125
CA5400538,192
CA5400542,616
CA5400544,521
CA5400550,691
CA5400553,653
CA5400556,48
CA5400558,79
CA5400567,340
CA5400602,60
CA5400604,103
CA5400616,109
CA5400620,400
CA5400624,500
CA5400631,694
CA5400641,343
CA5400647,95
CA5400655,119
CA5400660,75
CA5400665,1205
CA5400666,320
CA5400670,408
CA5400682,138
CA5400704,180
CA5400709,400
CA5400710,272
CA5400711,117
CA5400713,570
CA5400714,930
CA5400718,165
CA5400728,97
CA5400732,46
CA5400735,115
CA5400744,40
CA5400754,384
CA5400767,46
CA5400769,41
CA5400792,650
CA5400795,255
CA5400805,110
CA5400816,155
CA5400819,44
CA5400824,779
CA5400846,25
CA5400850,105
CA5400875,33
CA5400880,495
CA5400881,109
CA5400882,220
CA5400884,347
CA5400886,250
CA5400903,500
CA5400919,250
CA5400929,400
CA5400934,340
CA5400935,138
CA5400940,290
CA5400964,44
CA5400968,200
CA5400972,125
CA5400994,256
CA5401003,423
CA5401026,70
CA5402008,42
CA5402036,330
CA5402038,550
CA5402047,31
CA5402048,89
CA5403023,454
CA5403043,350
CA5403084,150
CA5403110,37
CA5403113,106
CA5403126,50
CA5403130,295
CA5403131,50
CA5403144,39
CA5403146,818
CA5403212,152
CA5403213,130
CA5403217,300
CA5410001,6200
CA5410002,26913
CA5410003,11169
CA5410004,10397
CA5410006,12659
CA5410007,500
CA5410008,8300
CA5410009,2772
CA5410010,62988
CA5410011,1500
CA5410012,1690
CA5410014,2543
CA5410015,70733
CA5410016,145793
CA5410017,1531
CA5410019,4347
CA5410020,7950
CA5410021,7679
CA5410022,130
CA5410024,1617
CA5410025,1740
CA5410026,2200
CA5410034,941
CA5410036,500
CA5410038,3056
CA5410039,617
CA5410041,716
CA5410048,339
CA5410050,871
CA5410503,2940
CA5410513,2930
CA5410800,129
CA5410801,1281
CA5500040,282
CA5500041,59
CA5500042,468
CA5500048,1041
CA5500053,340
CA5500057,97
CA5500060,445
CA5500064,154
CA5500071,269
CA5500074,361
CA5500077,417
CA5500080,202
CA5500086,231
CA5500092,52
CA5500096,129
CA5500104,316
CA5500115,219
CA5500116,280
CA5500119,59
CA5500120,115
CA5500124,105
CA5500125,210
CA5500128,67
CA5500148,36
CA5500149,89
CA5500171,289
CA5500193,225
CA5500221,28
CA5500242,172
CA5500243,78
CA5500353,34
CA5500363,62
CA5510001,10814
CA5510002,1753
CA5510003,1722
CA5510004,1253
CA5510005,2378
CA5510006,2156
CA5510007,1289
CA5510008,3240
CA5510009,3400
CA5510011,1771
CA5510012,10702
CA5510013,5365
CA5510015,1879
CA5510016,300
CA5510021,90
CA5510023,1123
CA5510024,1154
CA5510025,151
CA5510026,1168
CA5510028,815
CA5510033,336
CA5510503,51
CA5510851,3242
CA5510852,150
CA5601104,238
CA5601105,353
CA5601106,99
CA5601110,134
CA5601116,46
CA5601117,800
CA5601119,323
CA5601120,340
CA5601122,70
CA5601125,65
CA5601134,150
CA5601137,25
CA5601141,58
CA5601144,600
CA5601201,1384
CA5601401,30
CA5601405,39
CA5602101,50
CA5602103,224
CA5602104,211
CA5602108,1335
CA5602109,160
CA5602110,160
CA5602111,972
CA5602115,368
CA5602117,429
CA5602130,100
CA5602132,25
CA5602140,196
CA5602403,600
CA5602406,820
CA5602407,2600
CA5602408,550
CA5603301,665
CA5610001,990
CA5610002,16419
CA5610003,1946
CA5610005,4200
CA5610006,690
CA5610007,200232
CA5610008,5000
CA5610009,21954
CA5610010,1709
CA5610011,30759
CA5610014,6801
CA5610015,1429
CA5610016,19512
CA5610017,113500
CA5610018,36625
CA5610019,46848
CA5610020,53157
CA5610021,2003
CA5610022,6100
CA5610023,94738
CA5610024,11005
CA5610029,1820
CA5610035,983
CA5610039,4861
CA5610040,66809
CA5610043,13898
CA5610046,0
CA5610050,0
CA5610056,1200
CA5610058,2079
CA5610059,44640
CA5610063,32700
CA5610068,455
CA5610069,1759
CA5610080,0
CA5610081,2039
CA5610700,5700
CA5610701,8625
CA5610702,254
CA5700509,460
CA5700510,250
CA5700554,140
CA5700555,44
CA5700571,876
CA5700615,432
CA5700623,46
CA5700643,400
CA5700700,400
CA5700702,200
CA5700707,40
CA5700712,602
CA5700784,304
CA5700788,314
CA5700797,800
CA5710001,67217
CA5710003,53355
CA5710004,944
CA5710005,7115
CA5710006,61032
CA5710007,3714
CA5710009,48828
CA5710011,1115
CA5710012,0
CA5800006,125
CA5800572,100
CA5800803,200
CA5800805,60
CA5800820,200
CA5800821,26
CA5800823,100
CA5800824,50
CA5800827,25
CA5800828,185
CA5800832,200
CA5800840,110
CA5800843,325
CA5800844,155
CA5800845,85
CA5800847,150
CA5800850,60
CA5800851,35
CA5800863,160
CA5800924,180
CA5805001,10464
CA5810001,12266
CA5810002,21654
CA5810003,16595
CA5810004,3712
CA5810005,122
CA5810006,2772
CA5810700,6785
